date,pair,forecast,actual_return,position,gpr,strategy_return,correct
2009-08-12,USD/CHF,3.058516297404899e-05,-0.004648563686585949,0.13057378052950175,83.43962097167969,-0.0006069805345896853,False
2009-08-13,USD/JPY,3.5997107238908876e-05,-0.004303516817061648,0.11620150247218088,83.43962097167969,-0.000500075120056861,False
2009-08-13,USD/CHF,3.5581950771892366e-05,0.00084056687767875,0.15197067532555494,83.43962097167969,0.00012774151605713277,True
2009-08-17,USD/JPY,3.889176898928141e-05,0.004341798489779114,0.12560278033042405,83.43962097167969,0.0005453419619506929,True
2009-08-17,USD/CHF,2.986155993279794e-05,-0.002694670474156502,0.12767487192474936,83.43962097167969,-0.000344041707667335,False
2009-08-18,USD/JPY,3.744543452920002e-05,-0.00769712943617451,0.12095942441931817,83.43962097167969,-0.0009310403462806598,False
2009-08-18,USD/CHF,3.273563161144124e-05,-0.008478487182696726,0.14004412252100415,83.43962097167969,-0.0011873622978063436,False
2009-08-19,USD/JPY,3.997353119830706e-05,0.001562035627188818,0.1291352097879816,83.43962097167969,0.00020171379841332944,True
2009-08-19,USD/CHF,4.183479949087432e-05,-0.0015035021788011305,0.17894844711745542,83.43962097167969,-0.0002690493801341731,False
2009-08-20,USD/JPY,3.944495877493498e-05,0.0011988388964820906,0.12746499665225705,83.43962097167969,0.00015280999592668523,True
2009-08-20,USD/CHF,4.340785587120771e-05,-0.004423173899605448,0.18579421782609148,83.43962097167969,-0.0008218001349859772,False
2009-08-24,USD/JPY,3.8953790885435665e-05,-0.005191205285919986,0.12595328068480874,83.43962097167969,-0.0006538493364699428,False
2009-08-24,USD/CHF,4.410563104894019e-05,0.000282585968107929,0.1889570080006188,83.43962097167969,5.339659903663255e-05,True
2009-08-25,USD/JPY,4.065206150221903e-05,0.001916936126206359,0.13147048726267213,83.43962097167969,0.00025202052656376914,True
2009-08-25,USD/CHF,4.3755174816920316e-05,0.006214012596159613,0.18757699358233942,83.43962097167969,0.001165605800870408,True
2009-08-26,USD/JPY,4.00070194179705e-05,-0.004783211829064604,0.12942163601531956,83.43962097167969,-0.0006190511003253701,False
2009-08-26,USD/CHF,3.704938980323165e-05,-0.010947801454672446,0.15886123751112458,83.43962097167969,-0.0017391812871153545,False
2009-08-27,USD/JPY,4.15694312236142e-05,-0.0007476203874572374,0.13450472602640473,83.43962097167969,-0.00010055847538669027,False
2009-08-27,USD/CHF,4.872876829062437e-05,0.0025543718962024453,0.2088044737961624,83.43962097167969,0.0005333642796662572,True
2009-08-31,USD/JPY,4.421585740597732e-05,-0.0017551632318235644,0.14312361151148795,83.43962097167969,-0.0002512053005307635,False
2009-08-31,USD/CHF,4.750899101084269e-05,0.007560737477503965,0.2038209639363794,83.43962097167969,0.001541036800734768,True
2009-09-01,USD/JPY,5.4984173245512284e-05,-0.005371774458222234,0.17803158230081756,73.37187957763672,-0.0009563455065604213,False
2009-09-01,USD/CHF,-1.9353994490615376e-05,-0.005534213826421386,-0.08303068177777778,73.37187957763672,0.000459509547111772,True
2009-09-02,USD/JPY,5.691129317112798e-05,0.005183841361149799,0.18430639338209956,73.37187957763672,0.0009554151051384733,True
2009-09-02,USD/CHF,-1.0051223331985544e-05,0.0016978497576123353,-0.043134774022081726,73.37187957763672,-7.323636561805432e-05,False
2009-09-03,USD/JPY,5.501242205305443e-05,0.0030533383489714794,0.17819181145231486,73.37187957763672,0.0005440798913800482,True
2009-09-03,USD/CHF,-1.2873723562112566e-05,-0.0016949719498979832,-0.05528117358538823,73.37187957763672,9.370003858467437e-05,True
2009-09-07,USD/JPY,5.4061810765141624e-05,-0.0065647936114082706,0.17521172675818744,73.37187957763672,-0.0011502288244659604,False
2009-09-07,USD/CHF,-9.534246283228194e-06,-0.01349182765749879,-0.040992906007830454,73.37187957763672,0.0005530692230376952,True
2009-09-08,USD/JPY,5.641826937991143e-05,-0.0019499546087792252,0.1828734633575119,73.37187957763672,-0.00035659495269739906,False
2009-09-08,USD/CHF,1.2931331812896565e-05,-0.003921273988787499,0.05552490486887192,73.37187957763672,-0.0002177283651922078,False
2009-09-09,USD/JPY,5.7103357596398346e-05,-0.004808431636424415,0.185147246703199,73.37187957763672,-0.000890267878444538,False
2009-09-09,USD/CHF,1.9423811645572143e-05,-0.0029763979335529767,0.08344314927034596,73.37187957763672,-0.00024836001705741027,False
2009-09-10,USD/JPY,5.882178341981617e-05,-0.011201073625528135,0.19075937881697255,73.37187957763672,-0.0021367098468889215,False
2009-09-10,USD/CHF,2.432774608504028e-05,-0.001444540073617273,0.10456819987214797,73.37187957763672,-0.00015105295514133835,False
2009-09-14,USD/JPY,6.199031002112263e-05,0.000308131144309165,0.2010536621183973,73.37187957763672,6.195089497608998e-05,True
2009-09-14,USD/CHF,3.3968117312071865e-05,0.001356188998055341,0.14616127360295347,73.37187957763672,0.00019822231120208202,True
2009-09-15,USD/JPY,6.185659227409499e-05,0.001342097901299688,0.20068032259115284,73.37187957763672,0.00026933263978173063,True
2009-09-15,USD/CHF,3.167405275550063e-05,-0.001644620001789776,0.13637437969469576,73.37187957763672,-0.00022428403257757014,False
2009-09-16,USD/JPY,6.134955376128581e-05,0.0020435579601403298,0.1990938236350578,73.37187957763672,0.00040685976810419725,True
2009-09-16,USD/CHF,3.433138264016198e-05,-0.003100712333299005,0.14790707883549453,73.37187957763672,-0.0004586173035274461,False
2009-09-17,USD/JPY,6.0589640334633366e-05,0.0007016573518057179,0.19668362085332813,73.37187957763672,0.00013800450855150608,True
2009-09-17,USD/CHF,3.937493871872816e-05,-0.000972051632638915,0.16972855095267156,73.37187957763672,-0.00016498491505898168,False
2009-09-21,USD/JPY,5.7304565236868174e-05,-0.014300326843768918,0.18608109788274635,73.37187957763672,-0.0026610205191706293,False
2009-09-21,USD/CHF,3.4459085293243093e-05,-0.009498038557814836,0.14870106520201287,73.37187957763672,-0.0014123684508768563,False
2009-09-22,USD/JPY,6.244101613561405e-05,0.006801944667165882,0.2026600239141134,73.37187957763672,0.0013784822689103138,True
2009-09-22,USD/CHF,4.9948267122371264e-05,0.0046967528997776675,0.215471664904505,73.37187957763672,0.0010120171669601558,True
2009-09-23,USD/JPY,5.9966410070235114e-05,-0.00551869012372419,0.19465144157254646,73.37187957763672,-0.0010742209881750885,False
2009-09-23,USD/CHF,4.2191965301631776e-05,0.002726906596831391,0.18208088444202697,73.37187957763672,0.0004965175649418575,True
2009-09-24,USD/JPY,6.193356685540408e-05,-0.011153568039654727,0.20107363197443173,73.37187957763672,-0.0022426884352073186,False
2009-09-24,USD/CHF,3.7674527852548176e-05,-0.0043706598342856395,0.1626748745702704,73.37187957763672,-0.0007109965403317353,False
2009-09-28,USD/JPY,6.569695897405732e-05,0.0039950275046034545,0.2133167661705936,73.37187957763672,0.0008522063480445852,True
